OBJECTID,Keep,Avg_Pwr_KW
10,1,3.917
11,1,135
17,1,2.216
21,1,0.768
24,1,0
71,1,0.114155251141553
74,1,115.911854281148
89,1,0.1
91,1,25.24
97,1,0.114155251141553
102,1,6.342
105,1,0
106,1,0.114155251141553
107,1,568
108,1,#DIV/0!
109,1,456.678
114,1,0.114155251141553
119,1,0
120,1,0
121,1,0
125,1,0
128,1,0
129,1,1.6267
158,1,7.762
167,1,0
171,1,0
173,1,0.114155251141553
177,1,0
180,1,
184,1,258
188,1,0.114155251141553
189,1,0
191,1,0
196,1,0.114155251141553
200,1,0.114155251141553
218,1,#DIV/0!
220,1,351.7
222,1,0
224,1,52
225,1,0
230,1,115.911854281148
