Name,Category 1 hurricane substation  repair costs [USD],Category 2 hurricane substation  repair costs [USD],Category 3 hurricane substation  repair costs [USD],Category 4 hurricane substation  repair costs [USD],Category 5 hurricane substation  repair costs [USD]
Addis Entergy Power Station,0,0,0,2498089.55969869,4578680.46207561
Air Liquide Entergy Power Station,0,0,0,424945.210550372,1015201.66815624
Air Products Entergy Power Station,0,446522.750548875,1344768.68101058,1572030.05628502,1572030.05628502
Alchem Entergy Power Station,0,406315.561307906,1038986.00030708,1144307.60873005,1144307.60873005
Alsen Entergy Power Station,0,0,0,0,0
Baker Entergy Power Station,0,0,0,0,0
Bayou Labutte Entergy Power Station,0,0,0,3815267.64684975,6258063.68553161
Bayou Verret Entergy Power Station,0,0,2128352.52095176,3711821.35876446,4274645.51307733
Bayview Entergy Power Station,292107.983958984,781119.429740334,882441.038163303,882441.038163303,882441.038163303
Beauregard Entergy Power Station,0,0,0,1091754.91327573,2373559.1803554
Belfair Entergy Power Station,0,0,0,0,0
Belle Helene Entergy Power Station,0,699696.495355528,1383139.38647174,1507079.15332321,1507079.15332321
Blount Entergy Power Station,0,0,0,0,0
Capitol Entergy Power Station,0,0,0,0,0
Chenango Entergy Power Station,0,0,0,938562.260686903,1834956.34812433
Claire Entergy Power Station,0,0,0,924486.476848594,1685648.67653338
Clinton Entergy Power Station,0,0,0,0,0
Colonial Springs Entergy Power Station,0,0,0,0,0
Coly Entergy Power Station,0,0,0,0,0
Concord Entergy Power Station,0,0,0,325623.602127403,853578.356394684
Conway Entergy Power Station,829609.412148563,1562644.53296713,2445072.67122014,2916213.58019751,2916213.58019751
Cosmar Entergy Power Station,0,399092.138750419,877362.688545525,1080005.90539146,1080005.90539146
Crown Zellerbach Entergy Power Station,0,0,0,0,0
Dawson Creek Entergy Power Station,0,0,0,0,818574.24674025
Delmont Entergy Power Station,0,0,0,0,0
Denham Springs Entergy Power Station,0,0,0,0,0
Derrick Entergy Power Station,0,0,498012.660079594,1103711.48277134,1351591.01647428
Devin Entergy Power Station,0,0,0,424945.210550372,1017201.66815624
Dixie Baker Entergy Power Station,0,0,0,0,0
Downtown Entergy Power Station,0,0,0,0,0
Drusilla Entergy Power Station,0,0,0,0,291213.714536916
East Entergy Power Station,0,0,0,0,0
Ellem Entergy Power Station,507026.428451156,848424.215577291,1383139.38647174,1631018.92017468,1631018.92017468
Enco Entergy Power Station,0,0,0,0,0
Esso Entergy Power Station,0,0,0,0,0
Evergreen Entergy Power Station,0,0,3598877.87708597,9698278.57958846,13089897.8388293
Exxon Co Entergy Power Station,0,0,0,0,0
