Name,Outage
Addis Entergy Power Station,1
Air Liquide Entergy Power Station,1
Air Products Entergy Power Station,1
Alchem Entergy Power Station,1
Alsen Entergy Power Station,0
 Baker Entergy Power Station,0
<Null>,1
Bayou Verret Entergy Power Station,1
Bayview Entergy Power Station,1
 Beauregard Entergy Power Station,1
Belfair Entergy Power Station,0
 Belle Helene Entergy Power Station,1
Blount Entergy Power Station,0
Capitol Entergy Power Station,0
Chenango Entergy Power Station,1
Claire Entergy Power Station,1
<Null>,0
Colonial Springs Entergy Power Station,0
Coly Entergy Power Station,0
Concord Entergy Power Station,1
Conway Entergy Power Station,1
 Cosmar Entergy Power Station,1
 Crown Zellerbach Entergy Power Station,0
Dawson Creek Entergy Power Station,1
Delmont Entergy Power Station,0
Denham Springs Entergy Power Station,0
Derrick Entergy Power Station,1
Devin Entergy Power Station,1
Dixie Baker Entergy Power Station,0
Downtown Entergy Power Station,0
Drusilla Entergy Power Station,0
East Entergy Power Station,0
<Null>,1
Enco Entergy Power Station,0
Esso Entergy Power Station,0
Evergreen Entergy Power Station,1
Exxon Co Entergy Power Station,0
 Exxon Pipeline Entergy Power Station,0
Fancy Point Entergy Power Station,0
<Null>,0
Formosa Co Entergy Power Station,0
Gardere Entergy Power Station,1
Gloria Entergy Power Station,0
Gonzales Entergy Power Station,1
Goudchaux Entergy Power Station,0
Grace Entergy Power Station,0
Grant Entergy Power Station,0
Greenwell Springs Entergy Power Station,0
Hammond Substation,0
Harrelson Entergy Power Station,0
Highland [LA] Entergy Power Station,0
Hoechst Entergy Power Station,0
<Null>,0
<Null>,1
Irion Entergy Power Station,1
<Null>,0
Jones Creek Entergy Power Station,0
Julia Entergy Power Station,0
Kaiser Entergy Power Station,0
Livonia Entergy Power Station,0
 Loblolly Entergy Power Station,0
<Null>,0
LSU Entergy Power Station,1
<Null>,1
 Main Line Entergy Power Station,0
McCall Entergy Power Station,1
Mickens Entergy Power Station,0
Mohican Entergy Power Station,0
Moler Entergy Power Station,0
Monochem Entergy Power Station,1
<Null>,1
Napoleonville Entergy Power Station,1
Nesser Entergy Power Station,1
Northdale Entergy Power Station,0
Oak Villa Entergy Power Station,0
Paincourtville Entergy Power Station,1
Pam Entergy Power Station,1
Panama Entergy Power Station,1
<Null>,0
Pecue Entergy Power Station,1
Placid Co Entergy Power Station,1
Plaquemine Entergy Power Station,1
<Null>,1
