Substation,Max_Load_No_Outage_kW,Max_Load_No_Outage_MW
Alsen Entergy Power Station,50722.56594448688,50.72256594448688
Baker Entergy Power Station,54521.74548275474,54.52174548275474
Bayview Entergy Power Station,624.1000122070312,0.6241000122070313
Beauregard Entergy Power Station,37482.52504534731,37.482525045347316
Belfair Entergy Power Station,145099.36395878808,145.09936395878808
Blount Entergy Power Station,29916.351579737664,29.916351579737665
Capitol Entergy Power Station,32420.90555698871,32.42090555698871
Clinton Entergy Power Station Get,10846.607778453832,10.846607778453832
Concord Entergy Power Station,141436.44979419713,141.43644979419713
Crown Zellerbach Entergy Power Station,0.0,0.0
Dawson Creek Entergy Power Station,218091.12440271486,218.09112440271485
Delmont Entergy Power Station,79444.46330394749,79.44446330394749
Denham Springs Entergy Power Station,88330.29168809653,88.33029168809654
Dixie Baker Entergy Power Station,49596.176972991256,49.59617697299126
Downtown Entergy Power Station,58607.75533010976,58.60775533010976
Drusilla Entergy Power Station,83977.03428468715,83.97703428468715
East Entergy Power Station,107099.7894759179,107.0997894759179
Enco Entergy Power Station,1.9999999523162841,0.001999999952316284
Esso Entergy Power Station,42.07499985694885,0.04207499985694885
Exxon Co Entergy Power Station,4313.138409519194,4.313138409519194
Fancy Point Entergy Power Station,509.23116531372074,0.5092311653137207
Formosa Co Entergy Power Station,14.520539474487304,0.014520539474487304
Gardere Entergy Power Station,189450.574875212,189.450574875212
Gloria Entergy Power Station,159051.4284017443,159.05142840174432
Gonzales Entergy Power Station,5954.474922752382,5.954474922752381
Goudchaux Entergy Power Station,49752.979468631704,49.7529794686317
Grace Entergy Power Station,16528.316915845873,16.528316915845874
Greenwell Springs Entergy Power Station,119814.848398769,119.814848398769
Harrelson Entergy Power Station,226846.77769321224,226.84677769321223
Highland [LA] Entergy Power Station,202542.47485957175,202.54247485957174
Hoechst Entergy Power Station,0.0,0.0
Jones Creek Entergy Power Station,134694.84950212255,134.69484950212257
Julia Entergy Power Station,37203.699948835405,37.20369994883541
Kaiser Entergy Power Station,14.520539474487304,0.014520539474487304
LSU Entergy Power Station,135120.70012929445,135.12070012929445
Louisiana 1,57.595539307594294,0.05759553930759429
Main Line Entergy Power Station,36639.55982730386,36.63955982730386
Mickens Entergy Power Station,125286.08913913982,125.28608913913982
Mohican Entergy Power Station,0.0,0.0
Moler Entergy Power Station,7774.183213520053,7.774183213520053
Nesser Entergy Power Station,136492.12527308494,136.49212527308492
Northdale Entergy Power Station,77201.61329011914,77.20161329011914
Oak Villa Entergy Power Station,106806.56145887398,106.80656145887399
Pecue Entergy Power Station,208548.42433662523,208.54842433662523
Port Hudson Entergy Power Station,2958.0065797984603,2.9580065797984605
Repapco Entergy Power Station,270.8061653137207,0.2708061653137207
Sandy Creek Entergy Power Station,34894.59247611163,34.89459247611163
Sears Entergy Power Station,58859.95974726684,58.85995974726684
Sharp Entergy Power Station,118821.28283475633,118.82128283475633
Shenandoah Entergy Power Station,137582.89953603767,137.58289953603767
Starhill Entergy Power Station,0.0,0.0
Thomas Entergy Power Station,83368.86005920173,83.36886005920174
Tiger Entergy Power Station,118263.32514224075,118.26332514224075
Unknown subsation at Allen Ln,10253.013935279852,10.253013935279853
Unknown subsation at Darville Rd,108555.77434816373,108.55577434816372
Unknown subsation at Hybiscus Dr,30829.178522425867,30.829178522425867
Unknown subsation at Kripple K Rd,47769.699591100165,47.769699591100164
Unknown subsation at Lake Village Rd,6572.574934959413,6.572574934959413
Unknown subsation at Reinninger Rd,5257.952860450742,5.257952860450742
Unknown subsation at Rolling Acres Dr,48602.724559593174,48.60272455959318
Unknown subsation at S Harrells Ferry Rd,92203.38807967905,92.20338807967904
Unknown subsation at S Vignes Rd Edi,60767.09971189494,60.767099711894936
Unknown subsation at Walker Dr,28391.98562217949,28.39198562217949
Unknown substation at 72nd Ave,110147.2630498052,110.1472630498052
Unknown substation at Alaska St,73014.89986238492,73.01489986238492
Unknown substation at Broussard St,25436.425031661973,25.436425031661972
Unknown substation at Denham Rd,89167.23086643228,89.16723086643228
Unknown substation at Evangeline St,111226.83843816516,111.22683843816516
Unknown substation at ExxonMobil Baton Rouge Chemical North,6422.922182178498,6.422922182178498
Unknown substation at ExxonMobil Baton Rouge Plastics Plant,11500.503681993488,11.50050368199349
Unknown substation at ExxonMobil Baton Rouge Polyolefins,24.02500019073486,0.02402500019073486
Unknown substation at Jefferson Hwy,165310.82747240123,165.31082747240123
Unknown substation at Jefferson Hwy#2,159721.6747248175,159.72167472481752
Unknown substation at Linde LLC,24.02500019073486,0.02402500019073486
Unknown substation at Lockhart Rd,7774.183213520053,7.774183213520053
Unknown substation at Powell Ln,84.1250015258789,0.0841250015258789
Unknown substation at S Choctaw Dr,61471.733889341245,61.471733889341245
Unknown substation at W.K. Gordon St,40173.031020426715,40.17303102042671
Unknown substation at Wooddale Blvd,102737.9961231709,102.7379961231709
Unknown substation next to Flannery Rea,55383.68487153042,55.38368487153042
Ward Creek Entergy Power Station,250240.224510385,250.240224510385
Weiner Entergy Power Station,169428.48899434836,169.42848899434836
Westdale Entergy Power Station,57171.36319677836,57.17136319677836
Willow Glen Entergy Power Station,114086.82433161758,114.08682433161758
Wintz Entergy Power Station,3466.02491455078,3.46602491455078
Zachary Rea Entergy Power Station,46655.821804171734,46.65582180417174
Zachary entergy Power Station,34565.156787121276,34.565156787121275
Zoar Entergy Power Station,114148.83944910779,114.1488394491078
